planner,success_rate,average_path_length,optimal_path_length,average_cost,planning_latency_ms,path_efficiency,episodes
astar,1.0,7.73,7.73,7.73,0.17847299459390342,1.0,100
dijkstra,1.0,7.73,7.73,7.73,0.3626510046888143,1.0,100
