episode,reward,epsilon,loss,success,average_reward,success_rate,average_path_length,collision_rate
1,-244.0,0.99724,0.7957129321600261,False,,,,
2,40.0,0.996412,0.8037020638585091,True,,,,
3,-276.0,0.993652,1.1334267669667801,False,,,,
4,-236.0,0.990892,0.5239794627142449,False,,,,
5,14.0,0.989742,0.5255920498073101,True,,,,
6,57.0,0.989121,0.8343257106564663,True,,,,
7,-252.0,0.986361,0.9681335113942623,False,,,,
8,73.0,0.985924,0.5260432988993431,True,,,,
9,61.0,0.985395,0.9011154960355033,True,,,,
10,-72.0,0.983463,0.899045249225483,True,,,,
11,77.0,0.983026,0.9486939405140123,True,,,,
12,-29.0,0.981715,1.1235828482006724,True,,,,
13,81.0,0.98137,1.6258424883087477,True,,,,
14,-76.0,0.979162,1.5090729737033446,True,,,,
15,46.0,0.978656,1.2752732383933933,True,,,,
16,44.0,0.977828,1.391877210388581,True,,,,
17,-248.0,0.975068,1.397807661102464,False,,,,
18,87.0,0.974861,0.9996467812193764,True,,,,
19,-85.0,0.97309,1.5277490118494281,True,,,,
20,76.0,0.972722,1.6119278818368912,True,,,,
21,99.0,0.972699,0.47953295707702637,True,,,,
22,-276.0,0.969939,1.4857101579507193,False,,,,
23,-296.0,0.967179,1.651317283945779,False,,,,
24,-39.0,0.965822,1.1502876247642404,True,,,,
25,-200.0,0.963062,1.5259119159231582,False,,,,
26,-140.0,0.960946,1.2614657707188441,True,,,,
27,60.0,0.960486,0.8127035330981016,True,,,,
28,-272.0,0.957726,1.148053231028219,False,,,,
29,96.0,0.957634,1.9054157584905624,True,,,,
30,-284.0,0.954874,1.3050400057807565,False,,,,
31,99.0,0.954851,3.5785844326019287,True,,,,
32,44.0,0.954207,1.4853995232177633,True,,,,
33,-36.0,0.952919,1.2437895431316324,True,,,,
34,-124.0,0.950159,1.374791922358175,True,,,,
35,46.0,0.949653,1.0698501230640844,True,,,,
36,-308.0,0.946893,1.2748405881226064,False,,,,
37,-368.0,0.944133,1.3319532036781312,False,,,,
38,6.0,0.943075,1.3185458824686382,True,,,,
39,97.0,0.943006,1.2865468660990398,True,,,,
40,10.0,0.941672,1.2705198958002288,True,-538.8,0.0,120.0,0.8308333333333333
41,-248.0,0.938912,1.3474650299176574,False,,,,
42,15.0,0.937877,1.0852528426382277,True,,,,
43,-42.0,0.935991,1.2893683387920625,True,,,,
44,61.0,0.935554,1.6854353931389356,True,,,,
45,-77.0,0.933047,1.27006342890886,True,,,,
46,63.0,0.932472,1.3246134048700333,True,,,,
47,94.0,0.932334,0.7133276189366976,True,,,,
48,5.0,0.931253,1.204283338277898,True,,,,
49,34.0,0.930471,1.2260555074933697,True,,,,
50,98.0,0.9304250000000001,1.7004802078008652,True,,,,
51,-8.0,0.929413,1.2619924927976998,True,,,,
52,94.0,0.929275,1.3255967497825623,True,,,,
53,-308.0,0.926515,1.7628249342242877,False,,,,
54,-39.0,0.924882,1.6006641203249004,True,,,,
55,99.0,0.924859,3.2539353370666504,True,,,,
56,45.0,0.923962,1.2795432303578427,True,,,,
57,50.0,0.92318,1.6796851543819202,True,,,,
58,77.0,0.922743,1.3197854035779049,True,,,,
59,-216.0,0.919983,1.5755738086998463,False,,,,
60,57.0,0.919454,1.20574403197869,True,,,,
61,55.0,0.918695,1.347379821267995,True,,,,
62,91.0,0.918488,1.0784574813312955,True,,,,
63,-234.0,0.916142,1.7181476994107168,True,,,,
64,34.0,0.915544,1.872936137020588,True,,,,
65,59.0,0.914969,1.065172814130783,True,,,,
66,89.0,0.914808,2.690777844616345,True,,,,
67,53.0,0.913911,1.4534075909700148,True,,,,
68,-38.0,0.912485,1.3612178460724893,True,,,,
69,43.0,0.911726,1.8763164092193951,True,,,,
70,38.0,0.910944,1.6304170590113192,True,,,,
71,-84.0,0.90892,1.663811081173745,True,,,,
72,99.0,0.908897,0.38842955231666565,True,,,,
73,-73.0,0.90639,1.6686185020098991,True,,,,
74,-23.0,0.904849,1.4531186525501423,True,,,,
75,-200.0,0.902089,1.7428593575954436,False,,,,
76,-11.0,0.900548,1.5849098698861563,True,,,,
77,-123.0,0.8981790000000001,1.4412168996426666,True,,,,
78,46.0,0.897213,1.6183717715598287,True,,,,
79,-9.0,0.895718,1.5030937770238288,True,,,,
80,-240.0,0.892958,1.7143185909837484,False,-467.85,0.1,108.25,0.8120092378752887
81,-42.0,0.891072,1.5088910747592041,True,,,,
82,99.0,0.891049,0.4723849892616272,True,,,,
83,-173.0,0.88845,1.9024506715019192,True,,,,
84,96.0,0.888358,1.0844839364290237,True,,,,
85,11.0,0.887507,1.4604469545789667,True,,,,
86,49.0,0.886978,1.5004694241544474,True,,,,
87,31.0,0.8858509999999999,1.7835788337551817,True,,,,
88,-228.0,0.883091,1.9009454963107904,False,,,,
89,91.0,0.882884,2.3599695099724665,True,,,,
90,58.0,0.882194,2.0020587583382925,True,,,,
91,16.0,0.880906,1.7526845367891448,True,,,,
92,56.0,0.880446,1.6854323670268059,True,,,,
93,-348.0,0.877686,1.7522389036913713,False,,,,
94,53.0,0.876789,2.159986341610933,True,,,,
95,97.0,0.8767199999999999,1.7801422278086345,True,,,,
96,-89.0,0.874673,1.8414820486240173,True,,,,
97,-133.0,0.872258,1.7453672079812912,True,,,,
98,88.0,0.872166,1.152896597981453,True,,,,
99,35.0,0.871131,2.545890045166016,True,,,,
100,99.0,0.871108,0.9602856636047363,True,,,,
101,7.0,0.870257,2.412937441387692,True,,,,
102,11.0,0.86913,2.1190910169056485,True,,,,
103,92.0,0.869038,2.0758087635040283,True,,,,
104,73.0,0.868785,2.0345256436954844,True,,,,
105,87.0,0.868578,2.509339796172248,True,,,,
106,18.0,0.867336,1.9150675314444083,True,,,,
107,97.0,0.867267,3.470436930656433,True,,,,
108,99.0,0.867244,1.4725656509399414,True,,,,
109,24.0,0.8666,2.0795723455292836,True,,,,
110,46.0,0.865818,2.7398925248314354,True,,,,
111,96.0,0.865726,2.202331095933914,True,,,,
112,-33.0,0.864231,2.431776314515334,True,,,,
113,95.0,0.864116,2.289249849319458,True,,,,
114,11.0,0.862621,2.473377768809979,True,,,,
115,96.0,0.862529,3.318424552679062,True,,,,
116,98.0,0.862483,1.5548340678215027,True,,,,
117,-10.0,0.861333,2.282985430955887,True,,,,
118,80.0,0.860965,2.421166256070137,True,,,,
119,82.0,0.860643,1.8405092358589172,True,,,,
120,85.0,0.860298,3.188997447490692,True,-434.6,0.05,114.2,0.670753064798599
121,-77.0,0.857699,2.8072329010583656,True,,,,
122,-25.0,0.856112,2.522678985111955,True,,,,
123,-51.0,0.854203,3.3193853892475724,True,,,,
124,53.0,0.85349,2.931615860231461,True,,,,
125,-220.0,0.85073,2.9638864388068518,False,,,,
126,-62.0,0.84866,2.9302321354548138,True,,,,
127,93.0,0.848591,3.8731435934702554,True,,,,
128,80.0,0.848223,3.327332630753517,True,,,,
